id,certification_standard_id,name,description,markdown_references,parent_id,criteria_code
ae25fa34-42f0-4a42-aedb-5152d5065f51,71dc5185-d4b6-40ec-9f5c-f3dc0ef9efcc,Soil Health & Land Management,"Seeks to facilitate the adoption of agricultural practices that build, rather than degrade, soils by increasing soil organic matter, biodiversity, and fertility.",,,
63ca2626-5661-4ba5-9cdc-cfa650c868a5,71dc5185-d4b6-40ec-9f5c-f3dc0ef9efcc,Animal Welfare,Seeks to ensure humane practices in the raising and/or handling of animals that intend to be sold or marketed using Regenerative Organic Certified® claims.,,,
0e577b77-0568-4a36-92f5-6cc362834eb6,71dc5185-d4b6-40ec-9f5c-f3dc0ef9efcc,Farmer & Worker Fairness,"Seeks economic stability and fairness for farmers, ranchers, and workers.",,,
