id,certification_standard_id,name,producer_description,level_order,logoURL
f2323454-876c-44a0-8ade-e2ea06b544a6,71dc5185-d4b6-40ec-9f5c-f3dc0ef9efcc,Bronze,Entry level certification for Regenerative Organic Certified,1,09c2b313-e6b5-4d57-b15a-4dfa09b4b3fe
4c2e2052-22b1-4d1e-ae0c-9ff4018559fb,71dc5185-d4b6-40ec-9f5c-f3dc0ef9efcc,Silver,Intermediate level certification for Regenerative Organic Certified,2,20789422-dfea-456e-925e-bcdedf0877c3
caa41e79-0fae-4e05-a178-6126ab2730d7,71dc5185-d4b6-40ec-9f5c-f3dc0ef9efcc,Gold,Highest level certification for Regenerative Organic Certified,3,5b5e4eed-8000-4f83-8099-95f38f01be2f
21d7b317-d0a5-44b1-a698-f72b0903223b,ff7eba44-3930-4fa3-b117-a8f2ac5757e3,Land to Market Verified,,1,c126129f-6920-41c8-878f-ecd437e47bf4
58cac9c3-5fa2-4515-a206-d4a86656df43,aca4c7d1-d52e-49d3-889b-793a9802b14b,Tier 1,Initial tier of Regenified 6-3-4 certification,1,91efea90-3e73-48bc-860f-3cad40fbbbb8
969fde74-b3d8-40b8-83ad-bd43fb77973e,aca4c7d1-d52e-49d3-889b-793a9802b14b,Tier 2,Second tier of Regenified 6-3-4 certification,2,91efea90-3e73-48bc-860f-3cad40fbbbb8
a9f975fa-3805-4327-8902-d2e368034cdd,aca4c7d1-d52e-49d3-889b-793a9802b14b,Tier 3,Third tier of Regenified 6-3-4 certification,3,91efea90-3e73-48bc-860f-3cad40fbbbb8
662863fe-529b-405d-909d-7e1ee40e8872,aca4c7d1-d52e-49d3-889b-793a9802b14b,Tier 4,Fourth tier of Regenified 6-3-4 certification,4,91efea90-3e73-48bc-860f-3cad40fbbbb8
9837da8a-de73-4f60-9500-1e1819af23d7,aca4c7d1-d52e-49d3-889b-793a9802b14b,Tier 5,Highest tier of Regenified 6-3-4 certification,5,91efea90-3e73-48bc-860f-3cad40fbbbb8
