id,claim_requirements,claim_text,minimum_ingredient_percentage,maximum_ingredient_percentage,certification_standards_id
59e62e13-d4de-477c-b417-0e03357e15ad,"Product contains at least 95% Regenerative Organic Certified® ingredients by weight or volume, excluding water and salt. Product is certified at least 95% USDA/NOP Organic • Remaining ingredients can be organic or nonorganic. Nonorganic ingredients must meet the criteria of the USDA/NOP Organic §205.",Regenerative Organic Certified®,95,99,71dc5185-d4b6-40ec-9f5c-f3dc0ef9efcc
05014932-1e34-4dde-8bf8-e087900e16ce,"Product contains at least 70% Regenerative Organic Certified® ingredients by weight or volume, excluding water and salt. Remaining ingredients can be organic or nonorganic. Nonorganic ingredients must meet the criteria of USDA/NOP Organic §205",Made with Regenerative Organic Certified® [Specified Ingredients],70,99,71dc5185-d4b6-40ec-9f5c-f3dc0ef9efcc
53f9e7ca-14f3-45cd-9dd4-57944bb08938,A minimum of 75% of all ingredients by weight (excluding water & salt) should be sourced from Certified Tier 2+ Regenified fields within the past 12 months. 100% of the total weight of any ingredient labeled under the Regenified designation must be Certified by Regenified within the last 12 months.,Made with Certified Regenified [ingredient],75,99,aca4c7d1-d52e-49d3-889b-793a9802b14b
4ad28c30-fad6-4607-b94e-a6c1e22bc15a,"Product contains 100% Regenerative Organic Certified® ingredients by weight or volume, excluding water and salt. Product is certified 100% USDA/NOP Organic (or an approved international equivalent).",100% Regenerative Organic Certified®,100,100,71dc5185-d4b6-40ec-9f5c-f3dc0ef9efcc
ff5902a8-2e92-4a01-a9cf-ee390f81b242,All ingredients by weight (excluding water & salt) must originate from fields Certified Tier 2+ by Regenified within the past 12 months.,100% Regenified,100,100,aca4c7d1-d52e-49d3-889b-793a9802b14b
